# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
  22100    2.03e+00  2.11e+00    9.51e-03  9.11e-03    8.51e-02  8.83e-02    5.7e-04
  22200    1.98e+00  2.03e+00    5.75e-03  6.45e-03    8.31e-02  8.49e-02    5.7e-04
  22300    1.87e+00  1.73e+00    1.94e-02  1.94e-02    7.79e-02  7.23e-02    5.7e-04
  22400    1.90e+00  1.73e+00    1.00e-02  9.68e-03    7.97e-02  7.24e-02    5.7e-04
  22500    1.91e+00  1.87e+00    2.57e-03  1.72e-03    7.99e-02  7.82e-02    5.7e-04
  22600    2.24e+00  2.24e+00    3.89e-03  2.77e-03    9.37e-02  9.38e-02    5.7e-04
  22700    1.83e+00  1.84e+00    3.36e-03  3.85e-03    7.68e-02  7.70e-02    5.7e-04
  22800    1.85e+00  1.79e+00    1.46e-02  1.59e-02    7.73e-02  7.47e-02    5.7e-04
  22900    2.52e+00  2.41e+00    4.91e-03  5.03e-03    1.05e-01  1.01e-01    5.7e-04
  23000    1.90e+00  1.89e+00    2.93e-03  1.32e-03    7.94e-02  7.94e-02    5.7e-04
  23100    2.39e+00  2.41e+00    1.37e-02  1.30e-02    1.00e-01  1.01e-01    5.7e-04
  23200    2.17e+00  2.02e+00    4.74e-03  6.23e-03    9.11e-02  8.46e-02    5.7e-04
  23300    1.97e+00  1.95e+00    1.12e-03  2.05e-04    8.27e-02  8.18e-02    5.7e-04
  23400    1.89e+00  1.87e+00    1.98e-02  1.95e-02    7.88e-02  7.81e-02    5.7e-04
  23500    2.04e+00  2.00e+00    1.19e-02  1.21e-02    8.53e-02  8.36e-02    5.7e-04
  23600    1.85e+00  1.91e+00    9.39e-03  8.94e-03    7.75e-02  7.98e-02    5.7e-04
  23700    1.84e+00  1.81e+00    5.45e-03  5.67e-03    7.70e-02  7.58e-02    5.7e-04
  23800    1.92e+00  1.76e+00    1.72e-02  1.66e-02    8.03e-02  7.35e-02    5.7e-04
  23900    1.92e+00  2.02e+00    1.59e-03  1.58e-03    8.05e-02  8.46e-02    5.7e-04
  24000    2.16e+00  1.99e+00    1.71e-03  1.87e-03    9.27e-02  8.58e-02    5.4e-04
  24100    1.91e+00  1.78e+00    8.99e-04  2.95e-04    8.22e-02  7.65e-02    5.4e-04
  24200    1.77e+00  1.78e+00    6.42e-03  7.87e-03    7.61e-02  7.64e-02    5.4e-04
  24300    1.81e+00  1.72e+00    5.90e-03  6.45e-03    7.80e-02  7.39e-02    5.4e-04
  24400    1.96e+00  1.74e+00    2.21e-02  2.30e-02    8.38e-02  7.43e-02    5.4e-04
  24500    1.82e+00  1.94e+00    1.22e-02  1.19e-02    7.81e-02  8.32e-02    5.4e-04
  24600    1.75e+00  1.77e+00    1.94e-03  1.70e-03    7.54e-02  7.62e-02    5.4e-04
  24700    2.02e+00  1.99e+00    9.93e-03  1.08e-02    8.65e-02  8.53e-02    5.4e-04
  24800    1.77e+00  1.54e+00    2.42e-03  3.15e-03    7.60e-02  6.63e-02    5.4e-04
  24900    1.99e+00  1.83e+00    2.37e-03  1.85e-03    8.55e-02  7.86e-02    5.4e-04
  25000    2.02e+00  1.89e+00    9.90e-03  9.83e-03    8.67e-02  8.13e-02    5.4e-04
  25100    1.79e+00  1.76e+00    2.10e-03  1.37e-03    7.70e-02  7.56e-02    5.4e-04
  25200    2.39e+00  2.41e+00    6.86e-03  6.34e-03    1.03e-01  1.04e-01    5.4e-04
  25300    1.77e+00  1.74e+00    6.26e-03  6.90e-03    7.61e-02  7.47e-02    5.4e-04
